Fund,N,EVaR_99,EVaR_99_1y,Source
FIRVX,4360,-0.04555890588646,-0.29881694578548,Fidelity_mutual_funds20240430
FISMX,5689,-0.0693638545470584,-0.394867059184968,Fidelity_mutual_funds20240430
FISVX,1455,-0.114217593404066,-0.830122645246074,Fidelity_mutual_funds20240430
FITLX,2005,-0.0917250745811668,-0.501368600289821,Fidelity_mutual_funds20240430
FIUIX,9426,-0.0746778589542191,-0.414472525242585,Fidelity_mutual_funds20240430
FIVFX,7498,-0.0816091834821703,-0.55704443964877,Fidelity_mutual_funds20240430
FIVLX,4766,-0.0955861998019718,-0.654880398971488,Fidelity_mutual_funds20240430
FIWFX,2474,-0.0336915975968641,-0.196426364962921,Fidelity_mutual_funds20240430
FIWTX,2474,-0.0404344800473586,-0.23336052935846,Fidelity_mutual_funds20240430
FIXRX,4360,-0.0470339648561169,-0.317064884035907,Fidelity_mutual_funds20240430
FJPNX,8213,-0.0718403929682107,-0.603218784410828,Fidelity_mutual_funds20240430
FJRLX,2884,-0.00860651026381305,-0.0488155219199466,Fidelity_mutual_funds20240430
FJSCX,7319,-0.0755854963327859,-0.562688714653296,Fidelity_mutual_funds20240430
FKIFX,3916,-0.0257185931043596,-0.156065539091684,Fidelity_mutual_funds20240430
FLCOX,2230,-0.0910581842836983,-0.489864287621538,Fidelity_mutual_funds20240430
FLCSX,7513,-0.0833352856484292,-0.55593730824024,Fidelity_mutual_funds20240430
FLIFX,3916,-0.0319037983836987,-0.183813315639785,Fidelity_mutual_funds20240430
FLOWX,1266,-0.0478308742914262,-0.44911502378814,Fidelity_mutual_funds20240430
FLPSX,8900,-0.0741769706738412,-0.355124502328726,Fidelity_mutual_funds20240430
FLTMX,9908,-0.0167055955373844,-0.0555928211704351,Fidelity_mutual_funds20240430
FLVCX,6125,-0.108885316527935,-0.670689522567348,Fidelity_mutual_funds20240430
FMAGX,11425,-0.220401157463443,-0.641109358346411,Fidelity_mutual_funds20240430
