Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FIWFX,2474,0.0503369220477809,0.0484111079001361,0,-0.20328050147874,-0.133031264586624,0.000210458022763572,-0.232427799625497,-0.113356819345673,0.151128976459794,0.979013643900591,-1.10771254576389,8.08826197877073
FIWTX,2474,0.055411015710608,0.0525667667257321,0,-0.233248382798706,-0.153933241970146,0.000227269396625829,-0.235573453309172,-0.118729391431486,0.158248479142295,0.978135237556085,-1.03590093137185,8.02
FIXRX,4360,0.0526879287972205,0.0467986998094689,0,-0.403456411972407,-0.256759976929836,0.000212936965565543,-0.15218037729185,-0.114301269034801,0.151219230578131,0.985345398076481,-1.11354464007577,8.02
FJPNX,8213,0.0443295526098751,0.0224431488914305,0,-0.505663410051559,-0.376863044106586,0.000139920648059102,-0.144396787903329,-0.0596656005023173,0.153476965204111,0.983795448613842,-0.517540040903397,8.02
FJRLX,2884,0.0217501754652377,0.0217211036057829,0,-0.0822543316721335,-0.0535815974164598,8.66075800360949e-05,-0.160815501520684,-0.0169344612208339,0.137982095480648,0.987783246089005,0.475176247893382,8.02
FJSCX,7319,0.0660509420596998,0.0463060441796563,0,-0.48825816477734,-0.373368466545268,0.000241805242575685,-0.162264007138498,-0.049798741696303,0.177075127731607,0.98200316131198,-0.379662582523419,8.02
FKIFX,3916,0.0524891599369962,0.0515339102572803,0,-0.160925030369246,-0.10061755109125,0.000187726434085128,-0.205083559954697,-0.112157625283612,0.142611380510235,0.981851235286486,-1.01382449249976,8.02
FLCOX,2230,0.0902359078463434,0.0765454401554693,0,-0.449545694832623,-0.305027308964767,0.000272944725815487,-0.27765903485299,-0.136826010642353,0.207614474828236,0.970948705301008,-1.07636521742785,8.02
FLCSX,7513,0.090097197693748,0.0710000308100507,0,-0.489114003273939,-0.328704090574337,0.000343526206929354,-0.170117040668535,-0.122813274395737,0.140225109289098,0.981463723005621,-1.54756617055194,9.80835146250181
FLIFX,3916,0.0573704743755519,0.0559055846043386,0,-0.18108274879757,-0.1159618764013,0.000197953107067026,-0.250513898737627,-0.123996804122656,0.143438917431718,0.977216223484991,-1.04150102336398,8.0200000000001
FLOWX,1266,0.127753025102948,0.116105078353478,0,-0.37011563972602,-0.266590691645643,0.000254149145885459,-0.152538769272456,-0.0988167960118976,0.0745548446003496,0.98301995030307,-1.14272147821131,11.1835635557879
FLPSX,8900,0.118400895188906,0.113093335757426,0,-0.463501146867121,-0.296602926958146,0.000588142636928236,-0.150027968975176,-0.0716694466664008,0.190188587839053,0.984892281966668,-1.60530292232214,9.97902150569448
FLTMX,9908,0.0453856382661587,0.0458981648188224,0,-0.0684083598885408,-0.0376260566090455,0.000209096820463638,-0.267003637412737,-0.0570781657936042,0.172665940780025,0.979368467130645,0.94182191123867,8.02
FLVCX,6125,0.111005638005838,0.083379520643472,0,-0.711034572765709,-0.511760601005414,0.000417672296849122,-0.132948446542365,-0.0886612991770407,0.152659059444112,0.984908509389754,-3.17111954812684,13.1115532961072
FMAGX,11425,0.112296893511591,0.0954163165378588,0,-0.379250160585286,-0.231926843659143,0.000469539945278561,-0.256112751714905,-0.0642089998148958,0.159400178199664,0.97237259588553,-0.961390160744072,8.02000000000001
FMCSX,7824,0.103493092309973,0.0861422131212663,0,-0.568113794458942,-0.390852398847174,0.000404386227377888,-0.161923537005653,-0.100901149785468,0.173104623336229,0.982409808783528,-2.40634427016263,12.702401749151
FMDGX,1455,0.0936302408572459,0.062823440338994,0,-0.512771840372182,-0.38103751104774,0.000354432758023849,-0.250150603548481,-0.127430876028816,0.184713342553452,0.971337100460676,-3.21696851015577,13.6799608810549
FMHTX,9942,0.0490628884573284,0.0494377025222532,0,-0.090145370937704,-0.0496921639086917,0.000240866878383532,-0.264569027882984,-0.0515439480728683,0.191036578445103,0.97902809915495,0.774859158262675,8.02000000000045
FMILX,8141,0.125338363776294,0.106279218670124,0,-0.546992035171995,-0.377144502294883,0.00045896098070293,-0.131595022476801,-0.08919524723306,0.191445005497967,0.985403507663896,-1.68211930179641,10.5764950264281
FMNDX,2896,0.0130154159008006,0.0130733751008043,0,-0.00686618553007473,-0.00437507350210782,3.68549283588815e-06,-0.0317832742706473,-0.0249556985194093,0.064438127836907,0.999000000157286,0.424047184620646,8.02000000000001
FMRAX,1425,0.0556814383065634,0.0513967810953913,0,-0.328653404312543,-0.230888542948584,0.000187863945270116,-0.20283757021453,-0.108400329395977,0.13053430100464,0.980414395262801,-1.39511583371264,9.27478451687002
FMRTX,489,0.0830452185045612,0.0823573243269493,0,-0.181817370273467,-0.124474766240681,0.000241903090138181,-0.746786835339683,-0.117947283093843,0.0696227793763478,0.928764702842983,-0.277903994234064,8.02
FMSDX,1804,0.0772341707500565,0.0740885224073551,0,-0.279393561967489,-0.190259650530714,0.000254545236563982,-0.275416161325981,-0.0935932032655375,0.193649575114946,0.973437922988774,-1.53773095978638,10.1892595315679
FMSFX,10161,0.0516291242065312,0.052055406796206,1,0.698506545943568,0.751959915351168,0.00242403618249623,-1.19906990227676,-0.322598751348475,1.18316381960199,0.874192253805938,0.767701349684638,8.42766339155731
FMWIX,807,0.022225924795144,0.0197901047249043,0,-0.177254142936466,-0.126137550895594,9.52102432247209e-05,-0.109201506381696,-0.0676576842576643,0.0214742864322537,0.990017954137739,-0.260278646373725,9.22422260015553
FNARX,7086,0.0695191687909869,0.0276829251469091,0,-0.694586589640841,-0.507936404014714,0.000238861098785455,-0.114257729093102,-0.0654449399034164,0.133108730621709,0.986430064385821,-1.99921416356806,13.5446833164022
FNBGX,1896,-0.0125643762259695,-0.0231794613897344,0,-0.335083863842732,-0.270253978093206,-2.15424110891493e-05,-0.226138836456266,0.0073196059907313,0.172211407145399,0.976327026758125,-0.447380886236379,16.5418043787895
FNCMX,5613,0.102819790530529,0.0825880968620174,0,-0.470771310641416,-0.304481703926072,0.000106754461393186,-0.322343830420297,-0.132011362571133,0.150305826693192,0.963890049107516,-1.29680868251976,8.02
FNDSX,1725,0.0160188676940704,0.0146206189939155,0,-0.178938977430139,-0.126725460693164,0.000113378452863882,-0.141296399671591,-0.00373307800258416,0.181716814250294,0.9877710219006,-0.309160234002423,9.30301451813646
FNIDX,2005,0.0532742993176132,0.0396717825829058,0,-0.433286535268624,-0.315088187390676,0.000121370679172362,-0.233078958053349,-0.110334611072914,0.155553656136835,0.97532962201126,-1.35588965379,9.1110371176619
FNILX,1654,0.115813428127713,0.0980179947486675,0,-0.375368967703607,-0.249693535534289,0.000398354269248347,-0.283457078198797,-0.181090498615791,0.137306675876454,0.969105326641111,-1.96107348334124,9.14357236712221
FNJHX,9403,0.0486662389146699,0.0491369360572744,0,-0.093361994119686,-0.0512317559343092,0.000254978619668538,-0.312309516871011,-0.0404182544441478,0.164451463010073,0.975153948138052,0.542166025330816,8.02
FNMIX,8053,0.0825990351194452,0.0798479609126672,0,-0.406870028207548,-0.268201739975431,0.000364337290010438,-0.225332174204753,-0.0488724900125593,0.246386984827888,0.97922284617452,-0.308611010338731,8.02000000000079
FNORX,7420,0.0961808764560722,0.0727602247342642,0,-0.596612312991893,-0.411106223587497,0.000434941975316484,-0.126816751596712,-0.0553536419125298,0.148287452415419,0.985712576927093,-0.910638258729696,9.15977291856108
FNSOX,1885,0.0202018665081599,0.0200855171243139,0,-0.0893455201143675,-0.0607777464143993,7.05026387026698e-05,-0.183739610753352,-0.00177935606017928,0.162478963268814,0.985616415654845,0.611270757309233,8.02
FNSTX,1377,0.0828044446991362,0.0654834170354968,0,-0.321218758814816,-0.215045940989295,0.000370774751496096,-0.339482197995399,-0.102793040377875,0.185334054810052,0.963833190927611,-1.0871101807275,8.02
FOCPX,10161,0.131016908244076,0.110640602063458,0,-0.574402428252079,-0.404545689496197,0.000647235499146324,-0.117050769799703,-0.0757894858180449,0.165173900582379,0.986992515369742,-1.53676794286112,9.54563978406615
FOHFX,9939,0.0497784588897858,0.0502036346745984,0,-0.0905695007910658,-0.050409805632153,0.000251510799333077,-0.285477688130422,-0.0492028300642534,0.1818379979336,0.97724503271005,0.625780558191343,8.02
