Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FFEBX,973,-0.0122249686717525,-0.0140972482847935,0,-0.247655596020238,-0.188877227295944,-8.98578105453305e-05,-0.0514591986169284,-0.0243773062176962,0.0690625522363577,0.99535901170641,-0.0819266555076279,7.73400282093772
FFEDX,2474,0.0599476131931156,0.0562147521589755,0,-0.248254479183891,-0.165114061659633,0.000236217792698181,-0.249849772518953,-0.124694755721572,0.167376530228741,0.976317937040489,-0.252793514218331,2.37113963632755
FFEGX,2474,0.0672961662362994,0.0622150599581297,0,-0.266662275727529,-0.179152345979349,0.000246414742144846,-0.286828154666335,-0.133428536730936,0.167289271841624,0.972060332207151,-0.265516565763026,2.45608799116207
FFEZX,2474,0.0764588114022602,0.068957529986809,0,-0.309196839733908,-0.210099225891524,0.000248532269201287,-0.305842596599508,-0.141035477190334,0.174752867258402,0.969202466091578,-0.274937980244104,2.50593152171209
FFFAX,7178,0.0433705953817827,0.0433139099075679,0,-0.187270152484334,-0.108987540609517,0.000168146727886018,-0.123544207670945,-0.0681735789740507,0.114218539688637,0.989782312223061,-0.193850589085332,3.45228579217065
FFFCX,7178,0.0579791341233734,0.0553474811570691,0,-0.293447678173608,-0.175364368260167,0.000214309626573077,-0.114606492540134,-0.0859118475837238,0.136396325697861,0.989374527230418,-0.241645340874417,2.84188974353228
FFFDX,7178,0.0630236164756358,0.0572536746344901,0,-0.365949654020714,-0.232586030850085,0.000245375317430847,-0.138242530102012,-0.0999507677248689,0.141694759526615,0.986446496641571,-0.239124160415012,2.7574989506278
FFFEX,7178,0.066961721097819,0.0580009670631889,0,-0.405699473101424,-0.268925215029188,0.000258375929861334,-0.180295690664394,-0.112927011035011,0.14087325715975,0.981618851319556,-0.253919389239153,2.71214361419329
FFFFX,6198,0.0526789443758761,0.0396914407780953,0,-0.443901194939344,-0.299883708480736,0.000263157352366177,-0.202859648415905,-0.124988565181717,0.134673286349071,0.978908359731764,-0.252376935523758,2.69525173656045
FFFGX,4757,0.0682829058838459,0.0549411478403334,0,-0.456011883423431,-0.310499936995219,0.000279759306421401,-0.215393691788458,-0.136494658316099,0.151961734764651,0.977539432426376,-0.288280450024729,2.18868825647021
FFFHX,4757,0.0673058264545403,0.0530908946823943,0,-0.465251452810242,-0.31531799187367,0.000288536183163273,-0.206473850797535,-0.136202525282676,0.150985198581855,0.978422305624909,-0.294895117610797,2.22284648957958
FFGCX,4049,0.0531685737517203,0.0266028086618328,0,-0.595650631633584,-0.444515576788056,2.41053350357475e-05,-0.115910885551576,-0.0732641445837656,0.123241467210924,0.986713682332831,-0.250663878835727,2.92112804202722
FFGZX,2474,0.0339081672333526,0.0334882480940129,0,-0.15325120680811,-0.0968053737938821,0.000153951571652105,-0.148041099302375,-0.0714147058664909,0.150370654118722,0.987857489472267,-0.244941993781204,2.51461726057274
