Date,SP500TR
2016-03-10,3737.7399902344
2016-03-09,3736.919921875
2016-03-08,3717.4899902344
2016-03-07,3759.0500488281
2016-03-04,3755.4699707031
2016-03-03,3743.0200195312
2016-03-02,3729.5900878906
2016-03-01,3713.6999511719
2016-02-29,3627.0600585938
2016-02-26,3656.419921875
2016-02-25,3662.8400878906
2016-02-24,3620.8701171875
2016-02-23,3604.6799316406
2016-02-22,3649.919921875
2016-02-19,3597.919921875
2016-02-18,3597.4899902344
2016-02-17,3614.1599121094
2016-02-16,3555.1999511719
2016-02-12,3496.2800292969
2016-02-11,3428.9899902344
2016-02-10,3471.0400390625
2016-02-09,3470.5
2016-02-08,3472.080078125
2016-02-05,3521.6000976562
2016-02-04,3587.7099609375
2016-02-03,3581.5300292969
2016-02-02,3562.5200195312
2016-02-01,3630.4599609375
2016-01-29,3631.9599609375
2016-01-28,3544.1298828125
2016-01-27,3524.330078125
2016-01-26,3562.8100585938
2016-01-25,3513.1101074219
2016-01-22,3568.8999023438
2016-01-21,3497.9399414062
2016-01-20,3479.75
2016-01-19,3520.3999023438
2016-01-15,3518.5100097656
2016-01-14,3596.0300292969
2016-01-13,3536.919921875
2016-01-12,3627.0600585938
2016-01-11,3598.9699707031
2016-01-08,3595.9099121094
2016-01-07,3635.2900390625
2016-01-06,3723.4399414062
2016-01-05,3771.5700683594
2016-01-04,3763.9899902344
2015-12-31,3821.6000976562
2015-12-30,3857.8999023438
2015-12-29,3885.5500488281
2015-12-28,3843.9399414062
2015-12-24,3852.3100585938
2015-12-23,3858.4699707031
2015-12-22,3810.8500976562
2015-12-21,3777.1499023438
2015-12-18,3747.5600585938
2015-12-17,3815.4599609375
2015-12-16,3873.1201171875
2015-12-15,3817.3601074219
2015-12-14,3777.2199707031
2015-12-11,3759.0900878906
2015-12-10,3832.9299316406
2015-12-09,3823.8999023438
2015-12-08,3853.4799804688
2015-12-07,3878.3100585938
2015-12-04,3905.3100585938
2015-12-03,3826.7399902344
2015-12-02,3882.3798828125
2015-12-01,3924.6298828125
2015-11-30,3882.8400878906
2015-11-27,3900.7399902344
2015-11-25,3897.5700683594
2015-11-24,3897.669921875
2015-11-23,3892.8000488281
2015-11-20,3897.4499511719
2015-11-19,3882.0600585938
2015-11-18,3886.2600097656
2015-11-17,3824.1398925781
2015-11-16,3828.4599609375
2015-11-13,3771.5900878906
2015-11-12,3814.2900390625
2015-11-11,3867.7099609375
2015-11-10,3880.2299804688
2015-11-09,3873.3701171875
2015-11-06,3910.9799804688
2015-11-05,3911.8898925781
2015-11-04,3915.5200195312
2015-11-03,3928.0500488281
2015-11-02,3917.3000488281
2015-10-30,3871.330078125
2015-10-29,3890.0400390625
2015-10-28,3891.3400878906
2015-10-27,3845.4499511719
2015-10-26,3855.2900390625
2015-10-23,3862.6499023438
2015-10-22,3820.4899902344
2015-10-21,3757.9099121094
2015-10-20,3779.4399414062
2015-10-19,3784.7199707031
2015-10-16,3783.6398925781
2015-10-15,3766.4299316406
2015-10-14,3711.1101074219
2015-10-13,3728.4799804688
2015-10-12,3753.7299804688
2015-10-09,3748.9599609375
2015-10-08,3746.1201171875
2015-10-07,3713.3601074219
2015-10-06,3682.330078125
2015-10-05,3695.6101074219
2015-10-02,3629.0400390625
2015-10-01,3577.4699707031
2015-09-30,3570.169921875
2015-09-29,3503.1298828125
2015-09-28,3498.6101074219
2015-09-25,3589.7099609375
2015-09-24,3591.3701171875
2015-09-23,3603.4899902344
2015-09-22,3610.6999511719
2015-09-21,3655.6398925781
2015-09-18,3638.9899902344
2015-09-17,3698.7399902344
2015-09-16,3707.6201171875
2015-09-15,3675.4799804688
2015-09-14,3628.8701171875
2015-09-11,3643.5400390625
2015-09-10,3626.1398925781
2015-09-09,3606.8000488281
2015-09-08,3657.3200683594
2015-09-04,3567.4099121094
2015-09-03,3622.6599121094
2015-09-02,3618.25
2015-09-01,3552.6499023438
2015-08-31,3660.75
2015-08-28,3691.3000488281
2015-08-27,3688.6000976562
2015-08-26,3600.7299804688
2015-08-25,3465.1899414062
2015-08-24,3512.6499023438
2015-08-21,3656.669921875
2015-08-20,3776.3601074219
2015-08-19,3857.7399902344
2015-08-18,3889.6000976562
2015-08-17,3899.1000976562
2015-08-14,3878.1599121094
2015-08-13,3863.0300292969
2015-08-12,3867.3701171875
2015-08-11,3862.8100585938
2015-08-10,3899.3601074219
2015-08-07,3849.9599609375
